"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2021-04-07 18:00:26";"Evening Workout";"1787";"Squat (Barbell)";"1";"60.0";"8";"";"";"";"";"Legs"
"1";"2021-04-07 18:00:26";"Evening Workout";"1787";"Squat (Barbell)";"2";"80.0";"8";"";"";"";"";"Legs"
"1";"2021-04-07 18:00:26";"Evening Workout";"1787";"Squat (Barbell)";"3";"100.0";"8";"";"";"";"";"Legs"
"1";"2021-04-07 18:00:26";"Evening Workout";"1787";"Squat (Barbell)";"4";"60.0";"11";"";"";"";"";"Legs"
"1";"2021-04-07 18:00:26";"Evening Workout";"1787";"Standing Calf Raise (Barbell)";"1";"60.0";"12";"";"";"";"";"Legs"
"1";"2021-04-07 18:00:26";"Evening Workout";"1787";"Standing Calf Raise (Barbell)";"2";"60.0";"12";"";"";"";"";"Legs"
"1";"2021-04-07 18:00:26";"Evening Workout";"1787";"Standing Calf Raise (Barbell)";"3";"60.0";"12";"";"";"";"";"Legs"
"1";"2021-04-07 18:00:26";"Evening Workout";"1787";"Standing Calf Raise (Barbell)";"4";"60.0";"12";"";"";"";"";"Legs"
"2";"2021-04-14 18:14:41";"Evening Workout";"3467";"Squat (Barbell)";"1";"60.0";"5";"";"";"";"";"Legs"
"2";"2021-04-14 18:14:41";"Evening Workout";"3467";"Squat (Barbell)";"2";"80.0";"5";"";"";"";"";"Legs"
"2";"2021-04-14 18:14:41";"Evening Workout";"3467";"Squat (Barbell)";"3";"100.0";"5";"";"";"";"";"Legs"
"2";"2021-04-14 18:14:41";"Evening Workout";"3467";"Squat (Barbell)";"4";"120.0";"5";"";"";"";"";"Legs"
"2";"2021-04-14 18:14:41";"Evening Workout";"3467";"Squat (Barbell)";"5";"130.0";"5";"";"";"";"";"Legs"
"2";"2021-04-14 18:14:41";"Evening Workout";"3467";"Standing Calf Raise (Dumbbell)";"1";"50.0";"12";"";"";"";"";"Legs"
"2";"2021-04-14 18:14:41";"Evening Workout";"3467";"Standing Calf Raise (Dumbbell)";"2";"50.0";"12";"";"";"";"";"Legs"
"2";"2021-04-14 18:14:41";"Evening Workout";"3467";"Standing Calf Raise (Dumbbell)";"3";"50.0";"15";"";"";"";"";"Legs"
"2";"2021-04-14 18:14:41";"Evening Workout";"3467";"Standing Calf Raise (Dumbbell)";"4";"50.0";"15";"";"";"";"";"Legs"
"2";"2021-04-14 18:14:41";"Evening Workout";"3467";"Romanian Deadlift (Dumbbell)";"1";"12.5";"12";"";"";"";"";"Legs"
"2";"2021-04-14 18:14:41";"Evening Workout";"3467";"Romanian Deadlift (Dumbbell)";"2";"27.5";"12";"";"";"";"";"Legs"
"2";"2021-04-14 18:14:41";"Evening Workout";"3467";"Romanian Deadlift (Dumbbell)";"3";"27.5";"12";"";"";"";"";"Legs"
