Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2021-04-07 18:00:26;"Evening Workout";"Squat (Barbell)";1;60;kg;8;;;;0;"";"Legs";29m
2021-04-07 18:00:26;"Evening Workout";"Squat (Barbell)";2;80;kg;8;;;;0;;;29m
2021-04-07 18:00:26;"Evening Workout";"Squat (Barbell)";3;100;kg;8;;;;0;;;29m
2021-04-07 18:00:26;"Evening Workout";"Squat (Barbell)";4;60;kg;11;;;;0;;;29m
2021-04-07 18:00:26;"Evening Workout";"Standing Calf Raise (Barbell)";1;60;kg;12;;;;0;"";;29m
2021-04-07 18:00:26;"Evening Workout";"Standing Calf Raise (Barbell)";2;60;kg;12;;;;0;;;29m
2021-04-07 18:00:26;"Evening Workout";"Standing Calf Raise (Barbell)";3;60;kg;12;;;;0;;;29m
2021-04-07 18:00:26;"Evening Workout";"Standing Calf Raise (Barbell)";4;60;kg;12;;;;0;;;29m
2021-04-14 18:14:41;"Evening Workout";"Squat (Barbell)";1;60;kg;5;;;;0;"";"Legs";57m
2021-04-14 18:14:41;"Evening Workout";"Squat (Barbell)";2;80;kg;5;;;;0;;;57m
2021-04-14 18:14:41;"Evening Workout";"Squat (Barbell)";3;100;kg;5;;;;0;;;57m
2021-04-14 18:14:41;"Evening Workout";"Squat (Barbell)";4;120;kg;5;;;;0;;;57m
2021-04-14 18:14:41;"Evening Workout";"Squat (Barbell)";5;130;kg;5;;;;0;;;57m
2021-04-14 18:14:41;"Evening Workout";"Standing Calf Raise (Dumbbell)";1;50;kg;12;;;;0;"";;57m
2021-04-14 18:14:41;"Evening Workout";"Standing Calf Raise (Dumbbell)";2;50;kg;12;;;;0;;;57m
2021-04-14 18:14:41;"Evening Workout";"Standing Calf Raise (Dumbbell)";3;50;kg;15;;;;0;;;57m
2021-04-14 18:14:41;"Evening Workout";"Standing Calf Raise (Dumbbell)";4;50;kg;15;;;;0;;;57m
2021-04-14 18:14:41;"Evening Workout";"Romanian Deadlift (Dumbbell)";1;12.5;kg;12;;;;0;"";;57m
2021-04-14 18:14:41;"Evening Workout";"Romanian Deadlift (Dumbbell)";2;27.5;kg;12;;;;0;;;57m
2021-04-14 18:14:41;"Evening Workout";"Romanian Deadlift (Dumbbell)";3;27.5;kg;12;;;;0;;;57m
2021-04-14 18:14:41;"Evening Workout";"Romanian Deadlift (Dumbbell)";4;27.5;kg;12;;;;0;;;57m
2021-04-14 18:14:41;"Evening Workout";"Bulgarian Split Squat";1;0;kg;10;;;;0;"";;57m
2021-04-14 18:14:41;"Evening Workout";"Bulgarian Split Squat";2;0;kg;10;;;;0;;;57m
2021-04-14 18:14:41;"Evening Workout";"Bulgarian Split Squat";3;0;kg;10;;;;0;;;57m
2021-04-17 15:08:28;"Afternoon Workout";"Deadlift (Barbell)";1;70;kg;8;;;;0;"";"Deadlift";1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Deadlift (Barbell)";2;100;kg;5;;;;0;;;1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Deadlift (Barbell)";3;120;kg;5;;;;0;;;1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Deadlift (Barbell)";4;140;kg;5;;;;0;;;1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Deadlift (Barbell)";5;140;kg;5;;;;0;;;1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Seated Overhead Press (Barbell)";1;20;kg;12;;;;0;"";;1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Seated Overhead Press (Barbell)";2;30;kg;12;;;;0;;;1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Seated Overhead Press (Barbell)";3;40;kg;12;;;;0;;;1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Seated Overhead Press (Barbell)";4;40;kg;12;;;;0;;;1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Bicep Curl (Barbell)";1;20;kg;12;;;;0;"";;1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Bicep Curl (Barbell)";2;20;kg;12;;;;0;;;1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Bicep Curl (Barbell)";3;20;kg;12;;;;0;;;1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Bicep Curl (Barbell)";4;20;kg;12;;;;0;;;1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Shrug (Dumbbell)";1;25;kg;12;;;;0;"";;1h 7m
2021-04-17 15:08:28;"Afternoon Workout";"Shrug (Dumbbell)";2;25;kg;15;;;;0;;;1h 7m
